source,translated,context
Cool (30-49),بارد (30-49),
Invalid license key,مفتاح ترخيص غير صالح,
License key is valid,مفتاح الترخيص صالح,
Lost,خاسر,
New Leads,عملاء محتملين جدد,
Qualified,مؤهل,
SLA,اتفاقية مستوى الخدمة,
Upgrade Now,الترقية الآن,
Warm (50-79),دافئ (50-79),
Won,مربوح,
assigned by,تم تعيينه بواسطة,
calls,مكالمات,
communicated,تم التواصل,
enrolled in,مسجّل في,
generates,يولّد,
has,لديه,
monitors,يراقب,
my-site.com,my-site.com,
owned by,مملوك لـ,
requires a premium license.,يتطلب ترخيصاً مميزاً.,
scored,مسجّل,
scored by,مسجّل بواسطة,
tasks,مهام,
test,اختبار,
test-site,test-site,
triggers,يُشغّل,
→ opportunity,→ فرصة,
